,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Site 7,Site 8,Site 9,Site 10,Site 11,Site 12,Site 13,Site 14,Site 15,Site 16,Site 17,Site 18,Site 19,Site 20,Site 21,Site 22,Site 23,Site 24,Site 25,Site 26,Site 27,Site 28,Site 29,Site 30,Site 31,Site 32,Site 33,Site 34,Site 35,Site 36,Site 37,Site 38,Site 39,Site 40,Site 41,Site 42,Site 43,Site 44,Site 45,Site 46,Site 47,Site 48,Site 49,Site 50
Conductivity (uS/cm),232,266,195,774,475,320,300,493,290,425,802,256,352,308,585,411,364,907,346,469,4280,250,280,302,518,419,515,736,520,1401,2880,192,265,252,420,327,228,401,292,365,500,241,381,408,476,346,1803.33,669.33,556.66,455.33
pH,9,7.3,7.2,7.3,8.7,8.8,9.4,7.5,8.1,8.01,7.8,7.15,7.5,7.4,7.9,7.4,7.9,,8.15,8.24,8.2,7.4,7.6,7.2,8.6,8.8,8.4,8,9.01,8.23,7.4,7.02,7.3,7.2,8.52,8.7,8.46,,8.2,8.4,8.9,8.35,8,8.153333333,7.99,7.983333333,7.796666667,7.9,7.89,9.21
Temperature (C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.86666667,21.1,20.73333333,21.56666667,21.96666667,25.03333333,22.76666667,22.46666667,28.73333333
Dissolved Oxygen (mg/L),12,6.6,5.01,,11.3,8.9,13,5.3,8,8.4,7.8,5.25,6.35,4.95,8.8,8.9,7.5,7.8,8.8,8.4,8.2,8.1,8.2,6.8,11.5,11.7,16.1,10.4,12.08,9.4,10.5,6.59,7.4,5.9,11.45,8.07,8.2,8.28,8,8.6,7.1,8.233333333,7.43,7.386666667,7.093333333,7.42,0.51,7.016666667,6.226666667,11.03333333
BOD5 (mg/L),4,4,4,18,10,31,27,87,22,32,57,16,16,17,22,22,19,35,18,13,22,16,10,8,12,10,12,16,18,25,14,5,17,12,13,22,33,20,8,12,33,6.23853211,4,9.908256881,7,4,20,8,8,12.11009174
COD (mg/L),2,2,1,12,7,15,10,29,7,11,8,1,1,0.9,2,1,5,21,8,3,4,3,5,4,11,6,9,15,6,12,2,2,6,6,4,5,12,7,6,5,10,3.108,1,5.068,3,2,14,5,6,2.576
N-NO3 (mg/L),0.72144,0.8152272,0.7502976,0.3462912,0.8765496,1.1398752,1.4500944,1.2156264,0.8585136,0.5843664,0.4905792,0.59,1.21,0.935,1.151,1.07,1.342,0.178,0.102,0.629,0.035,0.884,0.963,0.911,1.129,0.173,0.077,0.583,0.084,0.117,0.078,0.478,1.347,1.365,0.68,1.173,1.1,0.325,0.398,0.662,0.324,0.502,1.247,1.213,1.701,1.423,3.115,1.705,1.502,1.045
N-NO2 (mg/L),0.047,0.112,0.108,0.019,0.256,0.055,0.072,0.337,0.042,0.031,0.019,0.027,0.07,0.076,0.187,0.025,0.034,0.044,0.003,0.004,0.008,0.035,0.081,0.046,0.151,0.052,0.076,0.062,0.001,0.012,0.014,0.037,0.053,0.046,0.142,0.017,0.005,0.008,0.005,0.008,0.008,0.004,0.047,0.113,0.068,0.058,0.014,0.169,0.154,0.071
Turbidez (NTU),19.3,21.7,22.6,20.9,15.7,43.4,42.5,105.4,79.5,127.6,172,63.5,30,43.9,33.6,42.4,68.3,18.5,70.7,144.8,199.5,80.6,65.4,63.5,57.3,43,20.7,43.2,47.2,50.9,200,85.4,79.8,58.6,24.1,44.2,46.8,43.5,59.2,76.2,187.8,443,365,370.6666667,451.6666667,420,194.3333333,208,288,118
N-NH3 (mg/L),0.107,0.108,0.045,0.531,0.215,0.028,0.026,0.409,0.03,0.035,0.041,0.336,0.373,0.323,0.697,0.228,0.406,0.737,0.066,0.104,0.024,0.635,0.422,0.374,0.58,0.21,0.594,1.125,0.0009,1.097,0.018,0.028,0.133,0.15,1.957,0.0009,0.058,0.0009,0.009,0.0009,0.134,0.134,0.235,0.277,0.351,0.242,0.7,0.688,0.362,0.098
P-PO4 (mg/L),0.165,0.182,0.105,1.312,0.349,0.191,0.334,0.67,0.125,0.107,0.283,0.105,0.162,0.134,0.246,0.18,0.272,1.344,0.152,0.154,0.131,0.926,0.413,0.125,0.517,0.191,0.713,0.7,0.093,0.059,0.115,0.135,0.232,0.157,0.348,0.31,0.265,0.171,0.169,0.195,0.229,0.076,0.134,0.211,0.148,0.117,1.685,0.38,0.316,0.288
